content,label,tokens
所谓跳跃是指断路器在手动合闸或自动装置动,0.0,"['所谓', '跳跃', '是', '指', '断路器', '在', '手动', '合闸', '或', '自动装置', '动']"
常用控制开关的型式和触点图表,1.0,"['常用', '控制', '开关', '的', '型式', '和', '触点', '图表']"
控制开关是断路器控制和信号回路的主要控制,0.0,"['控制', '开关', '是', '断路器', '控制', '和', '信号', '回路', '的', '主要', '控制']"
图表中表明控制开关共有六个位置即预备合闸,0.0,"['图表', '中', '表明', '控制', '开关', '共有', '六个', '位置', '即', '预备', '合闸']"
和跳闸为两个操作位置手柄由垂直位置顺时针,0.0,"['和', '跳闸', '为', '两个', '操作', '位置', '手柄', '由', '垂直', '位置', '顺时针']"
何谓电气主接线图,1.0,"['何谓', '电气', '主', '接线图']"
发电厂和变电所的主接线是由发电机变压器断,0.0,"['发电厂', '和', '变电所', '的', '主', '接线', '是', '由', '发电机', '变压器', '断']"
常用操作电源的种类,1.0,"['常用', '操作', '电源', '的', '种类']"
常见的直流系统原理结线,1.0,"['常见', '的', '直流', '系统', '原理', '结线']"
几组相互并联的电流互感器的并联回路应先取,0.0,"['几组', '相互', '并联', '的', '电流', '互感器', '的', '并联', '回路', '应先取']"
跳闸合闸命令应保持足够长的时间并且当跳闸,0.0,"['跳闸', '合闸', '命令', '应', '保持足够', '长', '的', '时间', '并且', '当', '跳闸']"
简述正常和高颅压情况下颅内容积和代偿调节机制,1.0,"['简述', '正常', '和', '高颅', '压', '情况', '下', '颅内', '容积', '和', '代偿', '调节', '机制']"
腔内脑组织脑脊液血液三者的总体积与颅腔容,0.0,"['腔', '内', '脑组织', '脑脊液', '血液', '三者', '的', '总', '体积', '与', '颅腔', '容']"
正常颅腔容积代偿为颅腔内三种内容物中任何,0.0,"['正常', '颅腔', '容积', '代偿', '为', '颅腔', '内', '三种', '内容', '物中', '任何']"
颅内压增高时主要靠脑脊液吸收增加分泌减少,0.0,"['颅内', '压', '增高', '时', '主要', '靠', '脑脊液', '吸收', '增加', '分泌', '减少']"
简述颅内压增高的病理因素,1.0,"['简述', '颅内', '压', '增高', '的', '病理', '因素']"
简述脑水肿的发生机制,1.0,"['简述', '脑水肿', '的', '发生', '机制']"
何谓脑疝简介其种类,1.0,"['何谓', '脑', '疝', '简介', '其', '种类']"
脑疝是指在颅内压增高的情况下脑组织通过某,0.0,"['脑', '疝', '是', '指', '在', '颅内', '压', '增高', '的', '情况', '下', '脑组织', '通过', '某']"
前疝也称颞叶沟回疝是颞叶沟回疝于脚间池及,0.0,"['前', '疝', '也', '称', '颞叶', '沟回', '疝', '是', '颞叶', '沟回', '疝于', '脚间', '池及']"
颅前凹和颅中凹的占位病变由于病变部压力相,0.0,"['颅前', '凹', '和', '颅', '中', '凹', '的', '占位', '病变', '由于', '病变', '部', '压力', '相']"
何谓小脑幕切迹疝简述其主要临床表现,1.0,"['何谓', '小脑', '幕切迹', '疝', '简述', '其', '主要', '临床表现']"
幕上占位性病变或严重脑水肿致颅内压力增高,0.0,"['幕上', '占位性', '病变', '或', '严重', '脑水肿', '致', '颅内', '压力', '增高']"
何谓枕骨大孔疝常见的症状体征有哪些,1.0,"['何谓', '枕骨', '大孔', '疝', '常见', '的', '症状', '体征', '有', '哪些']"
幕下后颅凹占位性病变时由于颅内压急剧增高,0.0,"['幕下', '后', '颅', '凹', '占位性', '病变', '时', '由于', '颅内', '压', '急剧', '增高']"
最常见的症状突然剧烈头痛烦躁频繁呕吐颈项,0.0,"['最', '常见', '的', '症状', '突然', '剧烈', '头痛', '烦躁', '频繁', '呕吐', '颈项']"
何谓耳源性脑积水简述其主要表现和治疗要点,1.0,"['何谓', '耳源性', '脑积水', '简述', '其', '主要', '表现', '和', '治疗', '要点']"
由于中耳炎或乳突炎继发横窦乙状窦血栓性静,0.0,"['由于', '中耳炎', '或', '乳突炎', '继发', '横', '窦乙状', '窦', '血栓性', '静']"
何谓混合性中风简述其发生机制,1.0,"['何谓', '混合性', '中风', '简述', '其', '发生', '机制']"
产生机制脑出血时血肿形成压迫或阻塞微循环,0.0,"['产生', '机制', '脑出血', '时', '血肿', '形成', '压迫', '或', '阻塞', '微循环']"
何谓黄斑回避有何临床意义简述其出现的可能机制,1.0,"['何谓', '黄斑', '回避', '有何', '临床意义', '简述', '其', '出现', '的', '可能', '机制']"
对于出现黄斑回避的机制在下列解释黄斑区由,0.0,"['对于', '出现', '黄斑', '回避', '的', '机制', '在', '下列', '解释', '黄斑', '区', '由']"
何谓第五第六脑室对其应如何分别不同情况进行处理,1.0,"['何谓', '第五第六', '脑室', '对', '其应', '如何', '分别', '不同', '情况', '进行', '处理']"
第五脑室指透明隔腔第六脑室是海马连合闭合,0.0,"['第五', '脑室', '指', '透明', '隔腔', '第六', '脑室', '是', '海马', '连合', '闭合']"
若其对脑室室间孔无压迫不造成脑积水和颅高,0.0,"['若', '其', '对', '脑室', '室间', '孔', '无', '压迫', '不', '造成', '脑积水', '和', '颅', '高']"
患侧面部麻木和疼痛角膜反射减弱或消失咀嚼,0.0,"['患', '侧面', '部', '麻木', '和', '疼痛', '角膜', '反射', '减弱', '或', '消失', '咀嚼']"
小脑桥脑角综合征的临床表现有常见颅神经受,0.0,"['小脑', '桥脑角', '综合征', '的', '临床表现', '有', '常见', '颅', '神经', '受']"
病变部位不同眶上裂综合征病变位于眶上裂周,0.0,"['病变', '部位', '不同', '眶', '上裂', '综合征', '病变', '位于', '眶', '上', '裂周']"
何谓抽搐简述其临床常见类型,1.0,"['何谓', '抽搐', '简述', '其', '临床', '常见', '类型']"
代谢性抽搐如子痫低钙肝昏迷等中毒性抽搐见,0.0,"['代谢性', '抽搐', '如', '子痫', '低', '钙', '肝', '昏迷', '等', '中', '毒性', '抽搐', '见']"
何谓四肢瘫常见于哪些疾病,1.0,"['何谓', '四肢', '瘫', '常见于', '哪些', '疾病']"
何谓去大脑强直和去皮层强直病损部位及临床意义是什么,1.0,"['何谓', '去', '大脑', '强直', '和', '去', '皮层', '强直', '病损', '部位', '及', '临床意义', '是', '什么']"
见于双侧大脑半球的广泛损害或双侧大脑深部,0.0,"['见于', '双侧', '大脑', '半球', '的', '广泛', '损害', '或', '双侧', '大脑', '深部']"
简述锥体束损害与锥体外系统疾病的临床鉴别要点,1.0,"['简述', '锥体束', '损害', '与', '锥体外系', '统', '疾病', '的', '临床', '鉴别', '要点']"
肌张力增高在锥体束损害时称痉挛有折刀症锥,0.0,"['肌', '张力', '增高', '在', '锥体束', '损害', '时称', '痉挛', '有', '折刀', '症锥']"
简述脊髓休克的概念及发生机制,1.0,"['简述', '脊髓', '休克', '的', '概念', '及', '发生', '机制']"
脊髓休克的机制尚不清楚有人认为是损伤平面,0.0,"['脊髓', '休克', '的', '机制', '尚', '不', '清楚', '有人', '认为', '是', '损伤', '平面']"
脊髓半侧损伤综合征又称布郎色夸氏综合征主,0.0,"['脊髓', '半侧', '损伤', '综合征', '又称', '布郎色', '夸氏', '综合征', '主']"
简述细胞的功能,1.0,"['简述', '细胞', '的', '功能']"
简述截瘫病人出现尿潴留的原因,1.0,"['简述', '截瘫', '病人', '出现', '尿潴留', '的', '原因']"
上运动神经元病变时逼尿肌张力增高应激性增,0.0,"['上', '运动神经元', '病变', '时', '逼', '尿', '肌', '张力', '增高', '应激', '性增']"
何谓交叉性瘫简述其病变定位及临床意义,1.0,"['何谓', '交叉性', '瘫', '简述', '其', '病变', '定位', '及', '临床意义']"
如损害发生在一侧中脑大脑角处就会出现完全,0.0,"['如', '损害', '发生', '在', '一侧', '中脑', '大脑', '角处', '就', '会', '出现', '完全']"
上述两种反射的中枢均位于脑干如果脑干受损,0.0,"['上述', '两种', '反射', '的', '中枢', '均', '位于', '脑干', '如果', '脑干', '受损']"
简述颅脑外伤后继发性脑缺血损害的分类及形成原因,1.0,"['简述', '颅脑', '外伤', '后', '继发性', '脑缺血', '损害', '的', '分类', '及', '形成', '原因']"
原因包括微小血管和毛细血管内皮损伤肿胀血,0.0,"['原因', '包括', '微小', '血管', '和', '毛细血管', '内皮', '损伤', '肿胀', '血']"
最常见的原因为血容量不足性低血压收缩压和,0.0,"['最', '常见', '的', '原因', '为', '血', '容量', '不足', '性', '低血压', '收缩压', '和']"
简述隐匿性脑血管畸形的概念和特点,1.0,"['简述', '隐匿性', '脑血管', '畸形', '的', '概念', '和', '特点']"
隐匿性脑血管畸形为一种微小的血管畸形脑血,0.0,"['隐匿性', '脑血管', '畸形', '为', '一种', '微小', '的', '血管', '畸形', '脑血']"
典型病史是一个健康的青年人在日间突然发生,0.0,"['典型', '病史', '是', '一个', '健康', '的', '青年人', '在', '日间', '突然', '发生']"
简述病的诊断要点及该病形成的可能原因,1.0,"['简述', '病', '的', '诊断', '要点', '及', '该病', '形成', '的', '可能', '原因']"
诊断要点脑血管造影片可见颈内动脉颅内分叉,0.0,"['诊断', '要点', '脑血管', '造', '影片', '可见', '颈内', '动脉', '颅内', '分叉']"
形成的真正原因不明通常认为各种原因致颈内,0.0,"['形成', '的', '真正', '原因', '不明', '通常', '认为', '各种', '原因', '致', '颈内']"
手术要点手术应在显微镜下操作应解除小脑扁,0.0,"['手术', '要点', '手术', '应', '在', '显微镜', '下', '操作', '应', '解除', '小脑', '扁']"
简述原发性蛛网膜囊肿形成的机制,1.0,"['简述', '原发性', '蛛网膜', '囊肿', '形成', '的', '机制']"
简述化学性脑膜炎的特点及防治措施,1.0,"['简述', '化学性', '脑膜炎', '的', '特点', '及', '防治', '措施']"
化学性脑膜炎又称无菌性脑膜炎多见于脑上皮,0.0,"['化学性', '脑膜炎', '又称', '无菌', '性', '脑膜炎', '多见于', '脑', '上皮']"
防治措施切除肿瘤时周围组织应以棉片保护防,0.0,"['防治', '措施', '切除', '肿瘤', '时', '周围', '组织', '应以', '棉片', '保护', '防']"
简述三叉神经痛病理生理的短路学说,1.0,"['简述', '三叉神经痛', '病理', '生理', '的', '短路', '学说']"
所谓三叉神经痛病理生理的短路学说认为是神,0.0,"['所谓', '三叉神经痛', '病理', '生理', '的', '短路', '学说', '认为', '是', '神']"
水有些什么特性,1.0,"['水', '有些', '什么', '特性']"
地表水和地下水有些什么特点,1.0,"['地表水', '和', '地下水', '有些', '什么', '特点']"
什么叫密度相对密度什么叫比热容,1.0,"['什么', '叫', '密度', '相对', '密度', '什么', '叫', '比热容']"
什么叫溶液饱和溶液溶解度,1.0,"['什么', '叫', '溶液', '饱和溶液', '溶解度']"
何谓溶度积有何意义,1.0,"['何谓', '溶度积', '有何意义']"
天然水中含有哪些杂质按颗粒大小如何分类,1.0,"['天然', '水中', '含有', '哪些', '杂质', '按', '颗粒', '大小', '如何', '分类']"
什么是水中的悬浮物质,1.0,"['什么', '是', '水中', '的', '悬浮', '物质']"
什么是水中的胶体物质,1.0,"['什么', '是', '水中', '的', '胶体', '物质']"
为什么水中会对碳钢产生腐蚀,1.0,"['为什么', '水中', '会', '对', '碳钢', '产生', '腐蚀']"
水中的主要阴阳离子对水质有些什么影响,1.0,"['水中', '的', '主要', '阴阳', '离子', '对', '水质', '有些', '什么', '影响']"
什么是水的总固体溶解固体和悬浮固体,1.0,"['什么', '是', '水', '的', '总', '固体', '溶解', '固体', '和', '悬浮固体']"
什么是水的浑浊度,1.0,"['什么', '是', '水', '的', '浑浊度']"
什么是水的色度,1.0,"['什么', '是', '水', '的', '色度']"
什么是水的硬度,1.0,"['什么', '是', '水', '的', '硬度']"
水的硬度有哪几种,1.0,"['水', '的', '硬度', '有', '哪几种']"
硬度的单位是如何表示的,1.0,"['硬度', '的', '单位', '是', '如何', '表示', '的']"
硬水对工业生产有什么危害,1.0,"['硬水', '对', '工业生产', '有', '什么', '危害']"
什么是水的碱度水中的碱度有哪几种形式存在,1.0,"['什么', '是', '水', '的', '碱度', '水中', '的', '碱度', '有', '哪几种', '形式', '存在']"
水中各种碱度的相互关系如何,1.0,"['水中', '各种', '碱度', '的', '相互', '关系', '如何']"
如何根据硬度和碱度的关系了解水质,1.0,"['如何', '根据', '硬度', '和', '碱度', '的', '关系', '了解', '水质']"
什么是水的酸度,1.0,"['什么', '是', '水', '的', '酸度']"
何谓水的电阻率,1.0,"['何谓', '水', '的', '电阻率']"
什么是水的值有什么意义,1.0,"['什么', '是', '水', '的', '值', '有', '什么', '意义']"
什么叫水的溶解氧,1.0,"['什么', '叫水', '的', '溶解氧']"
什么叫化学需氧量,1.0,"['什么', '叫', '化学', '需氧量']"
什么叫生化需氧量如何以生化需氧量来判断水质的好坏,1.0,"['什么', '叫', '生化', '需氧量', '如何', '以', '生化', '需氧量', '来', '判断', '水质', '的', '好坏']"
什么叫总需氧量,1.0,"['什么', '叫', '总需氧量']"
什么叫总有机碳,1.0,"['什么', '叫', '总', '有机', '碳']"
原水中含有的杂质一般以何种方法将其去除,1.0,"['原', '水中', '含有', '的', '杂质', '一般', '以', '何种', '方法', '将', '其', '去除']"
什么是水的预处理预处理有哪些主要方法,1.0,"['什么', '是', '水', '的', '预处理', '预处理', '有', '哪些', '主要', '方法']"
微过滤与常规过滤有些什么区别,1.0,"['微', '过滤', '与', '常规', '过滤', '有些', '什么', '区别']"
什么是微孔膜过滤技术,1.0,"['什么', '是', '微孔', '膜过滤', '技术']"
微孔过滤的机理和特点是什么,1.0,"['微孔', '过滤', '的', '机理', '和', '特点', '是', '什么']"
什么是超过滤技术,1.0,"['什么', '是', '超过滤', '技术']"
超过滤的工作原理及其特点是什么,1.0,"['超过滤', '的', '工作', '原理', '及其', '特点', '是', '什么']"
活性炭在水处理中有何作用,1.0,"['活性炭', '在', '水', '处理', '中有何', '作用']"
活性碳过滤原理是什么活性炭过滤器有什么作用运行时要注意些什么,1.0,"['活性碳', '过滤', '原理', '是', '什么', '活性炭', '过滤器', '有', '什么', '作用', '运行', '时要', '注意', '些', '什么']"
活性炭过滤器有什么作用运行时要注意些什么,1.0,"['活性炭', '过滤器', '有', '什么', '作用', '运行', '时要', '注意', '些', '什么']"
水处理用活性炭吸附装置有哪些形式,1.0,"['水', '处理', '用', '活性炭', '吸附', '装置', '有', '哪些', '形式']"
水处理用活性炭是如何制造的,1.0,"['水', '处理', '用', '活性炭', '是', '如何', '制造', '的']"
用什么方法把臭氧加入水中,1.0,"['用', '什么', '方法', '把', '臭氧', '加入', '水中']"
臭氧消毒剂在给水处理中的应用情况怎样,1.0,"['臭氧', '消毒剂', '在', '给水', '处理', '中', '的', '应用', '情况', '怎样']"
什么是紫外线消毒,1.0,"['什么', '是', '紫外线', '消毒']"
紫外线杀菌装置是怎样的,1.0,"['紫外线', '杀菌', '装置', '是', '怎样', '的']"
紫外线杀菌效果与哪些因素有关,1.0,"['紫外线', '杀菌', '效果', '与', '哪些因素', '有关']"
用紫外线消毒要注意些什么,1.0,"['用', '紫外线', '消毒', '要', '注意', '些', '什么']"
什么叫离子交换剂可分哪几类,1.0,"['什么', '叫', '离子交换', '剂', '可分', '哪', '几类']"
离子交换树脂发展的简况怎样,1.0,"['离子交换', '树脂', '发展', '的', '简况', '怎样']"
磺化煤天然绿砂及人造沸石有什么主要性能,1.0,"['磺化煤', '天然', '绿砂', '及', '人造', '沸石', '有', '什么', '主要', '性能']"
磺化煤在使用时应注意什么,1.0,"['磺化煤', '在', '使用', '时应', '注意', '什么']"
磺化煤为什么能脱色应如何处理,1.0,"['磺化煤', '为什么', '能', '脱色', '应', '如何', '处理']"
什么是离子交换树脂可分哪几类,1.0,"['什么', '是', '离子交换', '树脂', '可分', '哪', '几类']"
离子交换树脂有哪些主要性能,1.0,"['离子交换', '树脂', '有', '哪些', '主要', '性能']"
离子交换树脂的结构是怎样的,1.0,"['离子交换', '树脂', '的', '结构', '是', '怎样', '的']"
离子交换树脂为什么制成球形,1.0,"['离子交换', '树脂', '为什么', '制成', '球形']"
离子交换树脂的粒度及均匀性对水处理有什么影响,1.0,"['离子交换', '树脂', '的', '粒度', '及', '均匀', '性', '对', '水', '处理', '有', '什么', '影响']"
什么叫离子交换树脂的溶胀性它与什么因素有关,1.0,"['什么', '叫', '离子交换', '树脂', '的', '溶胀', '性', '它', '与', '什么', '因素', '有关']"
什么叫离子交换,1.0,"['什么', '叫', '离子交换']"
什么叫离子交换反应的可逆性,1.0,"['什么', '叫', '离子交换', '反应', '的', '可逆性']"
失效树脂为什么可以通过再生重新获得交换能力,1.0,"['失效', '树脂', '为什么', '可以', '通过', '再生', '重新', '获得', '交换', '能力']"
什么是离子交换树脂的选择性有什么规律性,1.0,"['什么', '是', '离子交换', '树脂', '的', '选择性', '有', '什么', '规律性']"
怎样识别离子交换树脂的牌号,1.0,"['怎样', '识别', '离子交换', '树脂', '的', '牌号']"
如何选择离子交换树脂,1.0,"['如何', '选择', '离子交换', '树脂']"
如何计算离子交换树脂的用量,1.0,"['如何', '计算', '离子交换', '树脂', '的', '用量']"
如何保管好离子交换树脂,1.0,"['如何', '保管', '好', '离子交换', '树脂']"
什么是离子交换树脂的全交换容量和工作交换容量,1.0,"['什么', '是', '离子交换', '树脂', '的', '全', '交换', '容量', '和', '工作', '交换', '容量']"
各类离子交换树脂交换容量利用率有什么不同,1.0,"['各类', '离子交换', '树脂', '交换', '容量', '利用率', '有', '什么', '不同']"
什么叫离子交换树脂的饱和度再生度,1.0,"['什么', '叫', '离子交换', '树脂', '的', '饱和度', '再生', '度']"
树脂的密度有哪几种表示形式,1.0,"['树脂', '的', '密度', '有', '哪几种', '表示', '形式']"
弱酸弱碱性树脂有什么特性如何应用,1.0,"['弱酸', '弱', '碱性', '树脂', '有', '什么', '特性', '如何', '应用']"
型阴离子交换树脂有什么特点,1.0,"['型', '阴离子', '交换', '树脂', '有', '什么', '特点']"
大孔型树脂有什么特点,1.0,"['大', '孔型', '树脂', '有', '什么', '特点']"
凝胶型与大孔型树脂有什么区别,1.0,"['凝胶', '型', '与', '大', '孔型', '树脂', '有', '什么', '区别']"
树脂对使用的温度有何要求,1.0,"['树脂', '对', '使用', '的', '温度', '有何', '要求']"
对离子交换树脂要检测哪些项目,1.0,"['对', '离子交换', '树脂', '要', '检测', '哪些项目']"
为什么强酸性树脂以钠型出厂而强碱性树脂以氯型出厂,1.0,"['为什么', '强', '酸性', '树脂', '以钠', '型', '出厂', '而强', '碱性', '树脂', '以氯型', '出厂']"
新树脂为什么也要进行处理如何处理,1.0,"['新', '树脂', '为什么', '也', '要', '进行', '处理', '如何', '处理']"
如何鉴别失去标签志的树脂,1.0,"['如何', '鉴别', '失去', '标签', '志', '的', '树脂']"
阴阳离子交换树脂混杂后如何分离,1.0,"['阴阳', '离子交换', '树脂', '混杂', '后', '如何', '分离']"
离子交换树脂的强度为什么会降低,1.0,"['离子交换', '树脂', '的', '强度', '为什么', '会', '降低']"
离子交换树脂使用后颜色变深说明什么,1.0,"['离子交换', '树脂', '使用', '后', '颜色', '变深', '说明', '什么']"
树脂受到污染的原因是什么,1.0,"['树脂', '受到', '污染', '的', '原因', '是', '什么']"
阴离子交换树脂有机物中母有些什么典型症状,1.0,"['阴离子', '交换', '树脂', '有机物', '中母', '有些', '什么', '典型', '症状']"
什么叫树脂污染指数不同的污染指数情况下采用什么措施,1.0,"['什么', '叫', '树脂', '污染', '指数', '不同', '的', '污染', '指数', '情况', '下', '采用', '什么', '措施']"
如何防止树脂受污染和怎样进行处理,1.0,"['如何', '防止', '树脂', '受', '污染', '和', '怎样', '进行', '处理']"
为什么阴离子交换树脂容易变质,1.0,"['为什么', '阴离子', '交换', '树脂', '容易', '变质']"
树脂受到铁的污染庆当如何处理,1.0,"['树脂', '受到', '铁', '的', '污染', '庆当', '如何', '处理']"
怎样判断树脂受油污染,1.0,"['怎样', '判断', '树脂', '受油', '污染']"
有哪些类别的专用树脂,1.0,"['有', '哪些', '类别', '的', '专用', '树脂']"
为什么要进行水的软化处理,1.0,"['为什么', '要', '进行', '水', '的', '软化', '处理']"
什么是原水软化水除盐水纯水和超纯水,1.0,"['什么', '是', '原水', '软化水', '除', '盐水', '纯水', '和', '超纯水']"
为什么软化和除盐水处理前要除去过量的余氯采用什么方法,1.0,"['为什么', '软化', '和', '除', '盐水', '处理', '前要', '除去', '过量', '的', '余氯', '采用', '什么', '方法']"
水的软化处理有哪些基本方法,1.0,"['水', '的', '软化', '处理', '有', '哪些', '基本', '方法']"
化学软化处理常用哪些药剂,1.0,"['化学', '软化', '处理', '常用', '哪些', '药剂']"
石灰软化法的原理是什么,1.0,"['石灰', '软化', '法', '的', '原理', '是', '什么']"
为什么石灰软化不能去除非碳酸盐硬度,1.0,"['为什么', '石灰', '软化', '不能', '去', '除非', '碳酸盐', '硬度']"
为什么说石灰软化法处理的水是不稳定的,1.0,"['为什么', '说', '石灰', '软化', '法', '处理', '的', '水', '是', '不', '稳定', '的']"
为什么石灰软化常和混凝处理同时进行,1.0,"['为什么', '石灰', '软化', '常', '和', '混凝', '处理', '同时', '进行']"
怎样控制石灰软化水的处理,1.0,"['怎样', '控制', '石灰', '软化水', '的', '处理']"
什么是后沉淀如何防止,1.0,"['什么', '是', '后', '沉淀', '如何', '防止']"
如何制备稳定的石灰浆液,1.0,"['如何', '制备', '稳定', '的', '石灰', '浆液']"
石灰软化处理的石灰加量如何估算,1.0,"['石灰', '软化', '处理', '的', '石灰', '加量', '如何', '估算']"
什么是石灰纯碱软化处理,1.0,"['什么', '是', '石灰', '纯碱', '软化', '处理']"
什么是苛性钠和纯碱苛性钠软化处理,1.0,"['什么', '是', '苛性钠', '和', '纯碱', '苛性钠', '软化', '处理']"
如何估算化学软化处理方法的药剂用量,1.0,"['如何', '估算', '化学', '软化', '处理', '方法', '的', '药剂', '用量']"
用钠离子交换树脂进行软化处理的原理和特点是什么,1.0,"['用', '钠离子', '交换', '树脂', '进行', '软化', '处理', '的', '原理', '和', '特点', '是', '什么']"
钠离子交换软化处理的盐耗如何计算,1.0,"['钠离子', '交换', '软化', '处理', '的', '盐耗', '如何', '计算']"
二级钠离子软化有什么特点,1.0,"['二级', '钠离子', '软化', '有', '什么', '特点']"
什么是离子交换软化法,1.0,"['什么', '是', '离子交换', '软化', '法']"
离子软化法有哪几种方式,1.0,"['离子', '软化', '法有', '哪几种', '方式']"
什么是氢离子交换加碱中和法,1.0,"['什么', '是', '氢离子', '交换', '加碱', '中和法']"
什么是加热软化法,1.0,"['什么', '是', '加热', '软化', '法']"
